coin,URL,count
litecoin,http://ho2hua2hfduv6f7hcbzdj2e6qdn4szgyy2jjnx545v4z3epq7uyrscid.onion/,0
zcash,http://ho2hua2hfduv6f7hcbzdj2e6qdn4szgyy2jjnx545v4z3epq7uyrscid.onion/,0
ethereum,http://ho2hua2hfduv6f7hcbzdj2e6qdn4szgyy2jjnx545v4z3epq7uyrscid.onion/,0
tether,http://ho2hua2hfduv6f7hcbzdj2e6qdn4szgyy2jjnx545v4z3epq7uyrscid.onion/,0
btc,http://ho2hua2hfduv6f7hcbzdj2e6qdn4szgyy2jjnx545v4z3epq7uyrscid.onion/,0
xmr,http://ho2hua2hfduv6f7hcbzdj2e6qdn4szgyy2jjnx545v4z3epq7uyrscid.onion/,0
\beth,http://ho2hua2hfduv6f7hcbzdj2e6qdn4szgyy2jjnx545v4z3epq7uyrscid.onion/,0
ltc,http://ho2hua2hfduv6f7hcbzdj2e6qdn4szgyy2jjnx545v4z3epq7uyrscid.onion/,0
zec,http://ho2hua2hfduv6f7hcbzdj2e6qdn4szgyy2jjnx545v4z3epq7uyrscid.onion/,0
bitcoin,http://libraryfyuybp7oyidyya3ah5xvwgyx6weauoini7zyz555litmmumad.onion,0
monero,http://libraryfyuybp7oyidyya3ah5xvwgyx6weauoini7zyz555litmmumad.onion,0
litecoin,http://libraryfyuybp7oyidyya3ah5xvwgyx6weauoini7zyz555litmmumad.onion,0
zcash,http://libraryfyuybp7oyidyya3ah5xvwgyx6weauoini7zyz555litmmumad.onion,0
ethereum,http://libraryfyuybp7oyidyya3ah5xvwgyx6weauoini7zyz555litmmumad.onion,0
tether,http://libraryfyuybp7oyidyya3ah5xvwgyx6weauoini7zyz555litmmumad.onion,0
btc,http://libraryfyuybp7oyidyya3ah5xvwgyx6weauoini7zyz555litmmumad.onion,0
xmr,http://libraryfyuybp7oyidyya3ah5xvwgyx6weauoini7zyz555litmmumad.onion,0
\beth,http://libraryfyuybp7oyidyya3ah5xvwgyx6weauoini7zyz555litmmumad.onion,0
ltc,http://libraryfyuybp7oyidyya3ah5xvwgyx6weauoini7zyz555litmmumad.onion,0
zec,http://libraryfyuybp7oyidyya3ah5xvwgyx6weauoini7zyz555litmmumad.onion,0
bitcoin,http://guideeedvgbpkthetphncab5aqj7dp5t74y7vxsoonnvmaeamq74vuqd.onion,2
monero,http://guideeedvgbpkthetphncab5aqj7dp5t74y7vxsoonnvmaeamq74vuqd.onion,0
litecoin,http://guideeedvgbpkthetphncab5aqj7dp5t74y7vxsoonnvmaeamq74vuqd.onion,0
zcash,http://guideeedvgbpkthetphncab5aqj7dp5t74y7vxsoonnvmaeamq74vuqd.onion,0
ethereum,http://guideeedvgbpkthetphncab5aqj7dp5t74y7vxsoonnvmaeamq74vuqd.onion,0
tether,http://guideeedvgbpkthetphncab5aqj7dp5t74y7vxsoonnvmaeamq74vuqd.onion,0
btc,http://guideeedvgbpkthetphncab5aqj7dp5t74y7vxsoonnvmaeamq74vuqd.onion,0
xmr,http://guideeedvgbpkthetphncab5aqj7dp5t74y7vxsoonnvmaeamq74vuqd.onion,0
\beth,http://guideeedvgbpkthetphncab5aqj7dp5t74y7vxsoonnvmaeamq74vuqd.onion,0
ltc,http://guideeedvgbpkthetphncab5aqj7dp5t74y7vxsoonnvmaeamq74vuqd.onion,0
zec,http://guideeedvgbpkthetphncab5aqj7dp5t74y7vxsoonnvmaeamq74vuqd.onion,0
bitcoin,http://findtorroveq5wdnipkaojfpqulxnkhblymc7aramjzajcvpptd4rjqd.onion/,1
monero,http://findtorroveq5wdnipkaojfpqulxnkhblymc7aramjzajcvpptd4rjqd.onion/,0
